N,P,K,Temperature,Humidity,Rainfall,Label,Yield (kg/ha),Soil_Moisture (%)
35.912,140.125,202.87,23.122,93.81,440.202,apple,9598.434,30.335
12.858,123.878,205.053,23.34,90.79,392.098,apple,10197.005,34.712
22.502,132.651,199.831,23.712,96.292,391.24,apple,8504.219,30.462
28.235,122.926,199.033,23.183,91.497,351.286,apple,9580.746,26.421
21.293,128.094,197.01,22.191,88.99,353.416,apple,9658.08,24.837
32.962,139.489,200.855,22.567,93.609,362.72,apple,11340.353,40.022
32.762,143.453,206.168,21.136,89.61,310.316,apple,10440.639,25.368
37.058,136.02,193.669,22.625,90.858,349.071,apple,10167.529,34.087
13.68,136.04,203.224,21.125,95.283,319.017,apple,12566.832,27.6
29.244,134.487,205.117,22.695,97.361,319.792,apple,10360.901,30.904
0.576,142.587,197.901,22.93,90.222,352.532,apple,9766.99,23.17
32.783,134.667,189.35,21.9,92.367,413.12,apple,12312.178,32.498
34.66,144.446,203.688,21.019,91.322,274.169,apple,10613.754,26.919
12.605,120.546,196.389,22.004,96.968,288.358,apple,11230.405,29.606
2.557,129.667,199.741,22.503,93.526,353.519,apple,10055.111,29.06
28.347,135.724,198.555,21.35,91.99,249.429,apple,8570.967,26.192
30.853,138.2,201.958,22.656,92.648,419.799,apple,9633.913,32.871
25.56,143.253,204.816,23.838,91.532,354.824,apple,12596.645,32.165
38.464,147.941,197.346,22.37,94.637,499.535,apple,9212.097,23.444
28.361,140.309,201.876,23.444,93.235,447.462,apple,8826.111,37.614
23.669,127.369,207.42,22.233,92.321,279.837,apple,9062.102,27.665
40.603,136.915,206.079,23.169,93.752,344.991,apple,9619.07,27.849
23.14,128.195,199.382,23.009,90.807,337.309,apple,9046.363,35.684
2.446,136.324,201.466,23.049,91.401,326.409,apple,11146.917,32.223
31.148,142.966,195.634,23.626,89.205,278.888,apple,9125.725,27.17
-1.779,128.926,202.807,22.863,94.718,363.638,apple,10205.785,29.319
32.015,141.636,202.313,21.289,90.12,430.496,apple,10725.655,33.889
35.11,139.225,201.179,21.792,91.062,434.865,apple,10118.976,29.017
0.383,126.086,192.348,22.839,95.308,352.957,apple,10877.738,26.979
37.379,143.514,190.449,23.708,92.747,330.751,apple,9570.587,20.899
9.374,138.55,190.787,24.611,92.503,426.081,apple,10267.074,38.769
31.889,124.7,192.114,21.827,92.218,349.808,apple,9631.541,34.107
6.582,140.354,202.057,21.014,90.954,307.572,apple,8141.986,36.512
25.514,137.439,210.393,22.471,93.362,330.73,apple,10145.626,31.541
28.834,129.522,193.771,21.444,94.174,304.426,apple,9911.315,26.224
25.542,133.942,193.531,20.703,93.258,360.489,apple,11499.578,30.886
27.058,124.227,202.454,23.36,92.858,361.814,apple,9649.126,28.838
1.887,121.274,202.896,22.88,96.377,276.663,apple,10067.439,32.834
37.19,136.478,202.382,22.479,94.474,427.735,apple,11266.74,27.153
2.369,120.828,202.072,22.85,91.848,301.151,apple,10529.664,35.565
30.455,128.773,199.84,22.425,94.609,371.35,apple,7978.328,33.611
11.698,142.125,201.571,23.911,94.59,426.801,apple,10163.574,33.674
28.634,126.142,201.636,22.636,91.381,235.828,apple,10204.814,30.54
8.554,139.773,199.459,23.022,94.264,301.639,apple,11821.561,23.352
26.172,140.839,206.885,22.466,90.883,422.829,apple,10525.869,35.946
29.368,128.402,203.899,22.176,92.208,396.456,apple,9981.911,29.613
27.221,123.036,205.752,21.303,88.48,271.996,apple,11030.725,35.426
14.255,124.718,214.318,22.285,92.501,369.91,apple,9823.139,28.991
3.975,121.132,209.933,22.224,90.092,350.661,apple,8967.264,33.096
36.709,133.369,200.868,23.229,89.425,370.264,apple,10331.879,34.244
47.726,118.72,201.15,24.329,88.666,377.849,apple,11494.576,35.425
9.283,129.519,198.317,22.386,95.167,335.796,apple,8339.685,21.304
7.305,137.071,197.684,24.825,96.6,342.978,apple,11856.797,30.814
38.718,138.637,197.644,21.378,92.908,341.133,apple,11128.821,24.178
31.153,124.343,199.591,23.182,90.573,406.259,apple,9779.962,29.165
24.533,124.892,193.657,23.589,91.865,323.88,apple,10160.859,28.729
25.106,124.91,202.113,22.359,96.922,380.37,apple,11762.24,32.864
28.685,127.389,196.373,22.335,92.069,390.49,apple,9480.557,26.001
28.848,138.311,203.043,23.567,90.615,376.467,apple,9429.632,40.602
28.623,120.27,203.477,21.895,87.938,320.804,apple,9285.84,16.566
3.174,138.511,194.078,22.12,91.532,381.967,apple,10698.754,22.38
32.401,121.293,200.061,22.297,93.96,351.357,apple,9393.844,35.815
26.991,128.913,202.513,22.752,89.811,357.753,apple,8966.427,33.014
1.652,125.651,196.435,22.601,93.721,298.539,apple,8714.656,26.609
27.226,138.634,196.102,23.586,90.982,373.551,apple,12763.808,23.659
28.354,141.633,197.544,23.207,89.137,509.415,apple,8725.612,30.326
24.491,137.25,193.651,23.608,92.087,323.545,apple,9216.894,29.852
33.224,139.885,200.046,23.688,94.053,423.429,apple,9259.545,25.951
7.158,142.678,186.37,22.815,93.872,399.935,apple,9482.782,37.437
23.432,143.859,198.012,23.264,91.813,425.008,apple,11005.341,33.785
11.314,117.581,201.767,21.104,91.708,272.749,apple,8607.663,39.312
17.99,136.947,200.039,23.176,90.7,368.029,apple,9391.059,34.537
29.742,138.109,206.217,22.168,92.227,345.347,apple,10530.803,28.751
31.703,120.643,190.249,23.376,91.067,292.232,apple,10814.128,33.606
24.584,122.169,205.717,22.001,90.693,363.708,apple,11564.652,23.49
24.872,139.149,201.371,22.277,90.771,288.268,apple,10882.222,20.519
10.867,140.795,187.942,21.451,92.098,326.352,apple,11858.69,26.766
9.728,142.259,199.167,22.822,97.954,341.734,apple,8833.126,30.659
8.2,122.578,203.018,22.085,91.158,307.164,apple,10769.823,35.578
22.562,134.855,197.449,21.937,89.368,380.946,apple,10979.406,20.461
7.238,129.264,197.186,22.976,95.111,296.262,apple,9625.947,29.075
28.588,126.478,201.296,22.933,92.55,429.572,apple,11442.894,30.242
33.23,139.493,199.714,22.049,94.936,362.294,apple,10313.88,30.775
26.852,139.616,199.421,22.605,92.555,336.394,apple,10008.389,34.621
3.72,143.738,199.244,21.043,89.748,342.122,apple,8650.682,31.549
36.333,127.497,206.437,21.113,96.412,322.917,apple,9332.786,34.967
24.644,130.872,195.729,23.295,89.028,440.926,apple,10000.211,23.501
15.584,132.527,189.927,23.804,92.434,443.24,apple,10186.774,36.969
26.903,125.18,200.421,21.716,92.736,348.717,apple,8790.104,28.3
24.666,131.319,197.996,22.061,89.984,405.572,apple,8784.826,28.835
5.607,127.037,203.408,22.294,92.154,301.015,apple,8179.048,25.765
-1.754,134.825,205.087,22.989,91.917,383.85,apple,9912.546,31.161
30.581,121.654,191.636,21.435,93.4,301.357,apple,10044.84,29.211
8.022,123.609,191.519,23.052,92.454,350.812,apple,11776.003,34.952
32.761,145.378,204.62,23.782,91.534,441.532,apple,10380.114,22.431
27.435,126.877,201.061,22.908,91.518,368.486,apple,8564.642,30.066
36.325,139.046,205.551,20.987,94.312,413.183,apple,10339.091,27.898
9.81,144.836,195.933,22.446,96.14,316.217,apple,9354.242,41.716
1.16,122.969,200.362,23.695,94.513,351.546,apple,11088.593,24.511
28.796,132.584,198.714,22.417,96.12,241.053,apple,10994.99,33.981
28.753,141.891,197.829,22.643,95.762,305.605,apple,9046.253,35.822
29.247,143.454,206.49,22.777,90.126,407.679,apple,11523.304,33.685
28.74,147.927,200.888,23.917,92.832,395.834,apple,9791.437,34.724
6.594,143.535,190.96,23.494,91.468,376.854,apple,10422.66,19.139
20.057,142.547,192.116,22.33,89.861,427.16,apple,9778.712,24.807
16.463,139.853,205.184,24.517,90.092,349.257,apple,9084.211,25.24
27.079,143.45,196.104,22.763,91.422,277.817,apple,9317.14,31.327
2.976,122.546,209.58,22.488,93.512,314.088,apple,10295.615,29.836
30.771,140.688,198.725,23.494,90.193,363.567,apple,9386.109,36.585
5.37,140.632,192.963,22.205,93.866,350.25,apple,9393.229,32.353
25.576,117.949,199.222,22.57,91.434,347.547,apple,10647.336,32.437
26.093,123.423,196.168,22.972,91.531,363.343,apple,11406.838,30.365
13.097,142.015,194.36,22.64,92.753,331.889,apple,8898.829,38.266
12.411,136.079,186.424,22.712,90.041,395.424,apple,9640.12,35.659
14.361,119.565,197.396,22.692,92.896,361.309,apple,10780.796,29.659
36.094,147.342,198.301,23.915,93.459,329.193,apple,9931.166,35.511
40.879,141.045,200.249,23.714,89.554,443.343,apple,8276.19,15.392
